DIA_TRANSPORTE,NOMBRE_EMPRESA,LINEA,CANTIDAD,DATO_PRELIMINAR
03/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_501,901,NO
03/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_521,10934,NO
03/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_522,12963,NO
03/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_523,17956,NO
03/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_525,2600,NO
03/01/2020,EMPRESA DE TRANSPORTE 12 DE OCTUBRE S R L,BSAS_LINEA_531,8922,NO
03/01/2020,EMPRESA DE TRANSPORTE 12 DE OCTUBRE S R L,BSAS_LINEA_532,14679,NO
03/01/2020,EMPRESA DE TRANSPORTE 12 DE OCTUBRE S R L,BSAS_LINEA_533,5575,NO
03/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_541,8603,NO
03/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_551,19657,NO
03/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_552,18159,NO
03/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_553,5156,NO
03/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_554,8514,NO
03/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_555,10616,NO
03/01/2020,EL LIBERTADOR SRL,BSAS_LINEA_562,18437,NO
03/01/2020,EL LIBERTADOR SRL,BSAS_LINEA_563,11151,NO
03/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_571,23289,NO
03/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_573,14712,NO
03/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_591,9685,NO
03/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_593,5655,NO
03/01/2020,TRANSPORTES 25 DE MAYO SRL,LINEA 542M,14784,NO
03/01/2020,EMPRESA DE TRANSPORTE PERALTA RAMOS SACI,LINEA 717,5358,NO
03/01/2020,EMPRESA DE TRANSPORTE PERALTA RAMOS SACI,LINEA_511,36018,NO
03/01/2020,TRANSPORTES 25 DE MAYO SRL,LINEA_581,11210,NO
04/01/2020,EMPRESA BATAN S.A.,BS_AS_LINEA 715M,6312,NO
04/01/2020,EMPRESA DE TRANSPORTE PERALTA RAMOS SACI,BS_AS_LINEA_512,5435,NO
04/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_501,920,NO
04/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_521,6073,NO
04/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_522,10341,NO
04/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_523,12786,NO
04/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_525,3607,NO
04/01/2020,EMPRESA DE TRANSPORTE 12 DE OCTUBRE S R L,BSAS_LINEA_531,9789,NO
04/01/2020,EMPRESA DE TRANSPORTE 12 DE OCTUBRE S R L,BSAS_LINEA_532,7920,NO
04/01/2020,EMPRESA DE TRANSPORTE 12 DE OCTUBRE S R L,BSAS_LINEA_533,5973,NO
04/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_541,7062,NO
04/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_543,9,NO
04/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_551,14337,NO
04/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_552,12582,NO
04/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_553,5052,NO
04/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_554,5747,NO
04/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_555,8798,NO
04/01/2020,EL LIBERTADOR SRL,BSAS_LINEA_562,13592,NO
04/01/2020,EL LIBERTADOR SRL,BSAS_LINEA_563,8120,NO
04/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_571,14681,NO
04/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_573,15481,NO
04/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_591,8027,NO
04/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_593,6184,NO
04/01/2020,TRANSPORTES 25 DE MAYO SRL,LINEA 542M,11492,NO
04/01/2020,EMPRESA DE TRANSPORTE PERALTA RAMOS SACI,LINEA 717,5106,NO
04/01/2020,EMPRESA DE TRANSPORTE PERALTA RAMOS SACI,LINEA_511,28180,NO
04/01/2020,TRANSPORTES 25 DE MAYO SRL,LINEA_581,11378,NO
05/01/2020,EMPRESA BATAN S.A.,BS_AS_LINEA 715M,3346,NO
05/01/2020,EMPRESA DE TRANSPORTE PERALTA RAMOS SACI,BS_AS_LINEA_512,3257,NO
05/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_501,415,NO
05/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_521,4400,NO
05/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_522,8074,NO
05/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_523,8606,NO
05/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_525,898,NO
05/01/2020,EMPRESA DE TRANSPORTE 12 DE OCTUBRE S R L,BSAS_LINEA_531,4802,NO
05/01/2020,EMPRESA DE TRANSPORTE 12 DE OCTUBRE S R L,BSAS_LINEA_532,7230,NO
05/01/2020,EMPRESA DE TRANSPORTE 12 DE OCTUBRE S R L,BSAS_LINEA_533,2099,NO
05/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_541,5217,NO
05/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_551,6456,NO
05/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_552,7513,NO
05/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_553,4825,NO
05/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_554,3108,NO
05/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_555,3795,NO
05/01/2020,EL LIBERTADOR SRL,BSAS_LINEA_562,8049,NO
05/01/2020,EL LIBERTADOR SRL,BSAS_LINEA_563,4788,NO
05/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_571,9179,NO
05/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_573,8119,NO
05/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_591,4961,NO
05/01/2020,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_593,2777,NO
05/01/2020,TRANSPORTES 25 DE MAYO SRL,LINEA 542M,7044,NO
05/01/2020,EMPRESA DE TRANSPORTE PERALTA RAMOS SACI,LINEA 717,3944,NO
05/01/2020,EMPRESA DE TRANSPORTE PERALTA RAMOS SACI,LINEA_511,19123,NO
