DATE,DAY,MONTH,YEAR,COMPANY,LINE_ID,TICKETS
2020-01-04,4,1,2020,25 DE MAYO,554,5747
2020-01-04,4,1,2020,25 DE MAYO,555,8798
2020-01-04,4,1,2020,EL LIBERTADOR,562,13592
2020-01-04,4,1,2020,EL LIBERTADOR,563,8120
2020-01-04,4,1,2020,25 DE MAYO,571,14681
2020-01-04,4,1,2020,25 DE MAYO,573,15481
2020-01-04,4,1,2020,25 DE MAYO,581,11378
2020-01-04,4,1,2020,25 DE MAYO,591,8027
2020-01-04,4,1,2020,25 DE MAYO,593,6184
2020-01-04,4,1,2020,BATAN,715,6312
2020-01-04,4,1,2020,PERALTA RAMOS,717,5106
2020-01-05,5,1,2020,25 DE MAYO,501,415
2020-01-05,5,1,2020,PERALTA RAMOS,511,19123
2020-01-05,5,1,2020,PERALTA RAMOS,512,3257
2020-01-05,5,1,2020,25 DE MAYO,521,4400
2020-01-05,5,1,2020,25 DE MAYO,522,8074
2020-01-05,5,1,2020,25 DE MAYO,523,8606
2020-01-05,5,1,2020,25 DE MAYO,525,898
2020-01-05,5,1,2020,12 DE OCTUBRE,531,4802
2020-01-05,5,1,2020,12 DE OCTUBRE,532,7230
2020-01-05,5,1,2020,12 DE OCTUBRE,533,2099
2020-01-05,5,1,2020,25 DE MAYO,541,5217
2020-01-05,5,1,2020,25 DE MAYO,542,7044
2020-01-05,5,1,2020,25 DE MAYO,551,6456
2020-01-05,5,1,2020,25 DE MAYO,552,7513
2020-01-05,5,1,2020,25 DE MAYO,553,4825
2020-01-05,5,1,2020,25 DE MAYO,554,3108
2020-01-05,5,1,2020,25 DE MAYO,555,3795
2020-01-05,5,1,2020,EL LIBERTADOR,562,8049
2020-01-05,5,1,2020,EL LIBERTADOR,563,4788
2020-01-05,5,1,2020,25 DE MAYO,571,9179
2020-01-05,5,1,2020,25 DE MAYO,573,8119
2020-01-05,5,1,2020,25 DE MAYO,581,5589
2020-01-05,5,1,2020,25 DE MAYO,591,4961
2020-01-05,5,1,2020,25 DE MAYO,593,2777
2020-01-05,5,1,2020,BATAN,715,3346
2020-01-05,5,1,2020,PERALTA RAMOS,717,3944
2020-01-06,6,1,2020,25 DE MAYO,501,530
2020-01-06,6,1,2020,PERALTA RAMOS,511,34263
2020-01-06,6,1,2020,PERALTA RAMOS,512,4938
2020-01-06,6,1,2020,25 DE MAYO,521,10026
2020-01-06,6,1,2020,25 DE MAYO,522,13393
2020-01-06,6,1,2020,25 DE MAYO,523,14924
2020-01-06,6,1,2020,25 DE MAYO,525,2272
2020-01-06,6,1,2020,12 DE OCTUBRE,531,10506
2020-01-06,6,1,2020,12 DE OCTUBRE,532,11589
2020-01-06,6,1,2020,12 DE OCTUBRE,533,4664
2020-01-06,6,1,2020,25 DE MAYO,541,9267
2020-01-06,6,1,2020,25 DE MAYO,542,13698
2020-01-06,6,1,2020,25 DE MAYO,551,19401
2020-01-06,6,1,2020,25 DE MAYO,552,14165
2020-01-06,6,1,2020,25 DE MAYO,553,6100
2020-01-06,6,1,2020,25 DE MAYO,554,8002
2020-01-06,6,1,2020,25 DE MAYO,555,9525
