DIA_TRANSPORTE,NOMBRE_EMPRESA,LINEA,AMBA,TIPO_TRANSPORTE,JURISDICCION,PROVINCIA,MUNICIPIO,CANTIDAD,DATO_PRELIMINAR
02/01/2021,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_521,NO,COLECTIVO,MUNICIPAL,BUENOS AIRES,GENERAL PUEYRREDON,2293,NO
02/01/2021,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_522,NO,COLECTIVO,MUNICIPAL,BUENOS AIRES,GENERAL PUEYRREDON,4844,NO
02/01/2021,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_523,NO,COLECTIVO,MUNICIPAL,BUENOS AIRES,GENERAL PUEYRREDON,5743,NO
02/01/2021,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_525,NO,COLECTIVO,MUNICIPAL,BUENOS AIRES,GENERAL PUEYRREDON,635,NO
02/01/2021,EMPRESA DE TRANSPORTE 12 DE OCTUBRE S R L,BSAS_LINEA_531,NO,COLECTIVO,MUNICIPAL,BUENOS AIRES,GENERAL PUEYRREDON,5211,NO
02/01/2021,EMPRESA DE TRANSPORTE 12 DE OCTUBRE S R L,BSAS_LINEA_532,NO,COLECTIVO,MUNICIPAL,BUENOS AIRES,GENERAL PUEYRREDON,1495,NO
02/01/2021,EMPRESA DE TRANSPORTE 12 DE OCTUBRE S R L,BSAS_LINEA_533,NO,COLECTIVO,MUNICIPAL,BUENOS AIRES,GENERAL PUEYRREDON,901,NO
02/01/2021,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_541,NO,COLECTIVO,MUNICIPAL,BUENOS AIRES,GENERAL PUEYRREDON,2997,NO
02/01/2021,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_543,NO,COLECTIVO,MUNICIPAL,BUENOS AIRES,GENERAL PUEYRREDON,1398,NO
02/01/2021,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_551,NO,COLECTIVO,MUNICIPAL,BUENOS AIRES,GENERAL PUEYRREDON,5071,NO
02/01/2021,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_552,NO,COLECTIVO,MUNICIPAL,BUENOS AIRES,GENERAL PUEYRREDON,4075,NO
02/01/2021,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_553,NO,COLECTIVO,MUNICIPAL,BUENOS AIRES,GENERAL PUEYRREDON,852,NO
02/01/2021,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_554,NO,COLECTIVO,MUNICIPAL,BUENOS AIRES,GENERAL PUEYRREDON,2882,NO
02/01/2021,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_555,NO,COLECTIVO,MUNICIPAL,BUENOS AIRES,GENERAL PUEYRREDON,3074,NO
02/01/2021,EL LIBERTADOR SRL,BSAS_LINEA_562,NO,COLECTIVO,MUNICIPAL,BUENOS AIRES,GENERAL PUEYRREDON,5258,NO
02/01/2021,EL LIBERTADOR SRL,BSAS_LINEA_563,NO,COLECTIVO,MUNICIPAL,BUENOS AIRES,GENERAL PUEYRREDON,2693,NO
02/01/2021,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_571,NO,COLECTIVO,MUNICIPAL,BUENOS AIRES,GENERAL PUEYRREDON,5776,NO
02/01/2021,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_573,NO,COLECTIVO,MUNICIPAL,BUENOS AIRES,GENERAL PUEYRREDON,4860,NO
02/01/2021,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_591,NO,COLECTIVO,MUNICIPAL,BUENOS AIRES,GENERAL PUEYRREDON,1827,NO
02/01/2021,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_593,NO,COLECTIVO,MUNICIPAL,BUENOS AIRES,GENERAL PUEYRREDON,1536,NO
02/01/2021,TRANSPORTES 25 DE MAYO SRL,LINEA 542M,NO,COLECTIVO,MUNICIPAL,BUENOS AIRES,GENERAL PUEYRREDON,2532,NO
02/01/2021,EMPRESA DE TRANSPORTE PERALTA RAMOS SACI,LINEA 717,NO,COLECTIVO,MUNICIPAL,BUENOS AIRES,GENERAL PUEYRREDON,2900,NO
02/01/2021,EMPRESA DE TRANSPORTE PERALTA RAMOS SACI,LINEA_511,NO,COLECTIVO,MUNICIPAL,BUENOS AIRES,GENERAL PUEYRREDON,11276,NO
02/01/2021,TRANSPORTES 25 DE MAYO SRL,LINEA_581,NO,COLECTIVO,MUNICIPAL,BUENOS AIRES,GENERAL PUEYRREDON,3192,NO
03/01/2021,EMPRESA BATAN S.A.,BS_AS_LINEA 715M,NO,COLECTIVO,MUNICIPAL,BUENOS AIRES,GENERAL PUEYRREDON,2225,NO
03/01/2021,EMPRESA DE TRANSPORTE PERALTA RAMOS SACI,BS_AS_LINEA_512,NO,COLECTIVO,MUNICIPAL,BUENOS AIRES,GENERAL PUEYRREDON,1894,NO
03/01/2021,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_501,NO,COLECTIVO,MUNICIPAL,BUENOS AIRES,GENERAL PUEYRREDON,727,NO
03/01/2021,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_521,NO,COLECTIVO,MUNICIPAL,BUENOS AIRES,GENERAL PUEYRREDON,1546,NO
03/01/2021,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_522,NO,COLECTIVO,MUNICIPAL,BUENOS AIRES,GENERAL PUEYRREDON,2470,NO
03/01/2021,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_523,NO,COLECTIVO,MUNICIPAL,BUENOS AIRES,GENERAL PUEYRREDON,4440,NO
03/01/2021,TRANSPORTES 25 DE MAYO SRL,BSAS_LINEA_525,NO,COLECTIVO,MUNICIPAL,BUENOS AIRES,GENERAL PUEYRREDON,742,NO
