DAY_OF_WEEK,LINE_ID,WORKDAY,LAG_7,DIFF_14,YEAR,DAY_OF_WEEK_COS,DAY_OF_YEAR_SIN,MONTH_SIN
5,525,1,0,0,2024,-0.2225209339563146,0.8013610881746766,0.8660254037844386
6,525,0,0,0,2024,0.6234898018587334,0.8115390590073611,0.8660254037844386
7,525,0,0,0,2024,1.0,0.8214765533024142,0.8660254037844386
1,525,1,0,0,2024,0.6234898018587336,0.8311706263658079,0.8660254037844386
2,525,1,0,0,2024,-0.22252093395631434,0.8406184056344782,0.8660254037844386
3,525,1,0,0,2024,-0.900968867902419,0.8498170915275278,0.8660254037844386
4,525,1,0,0,2024,-0.9009688679024191,0.8587639582758029,0.8660254037844386
5,525,1,0,0,2024,-0.2225209339563146,0.8674563547295969,1.0
6,525,0,0,0,2024,0.6234898018587334,0.8758917051442429,1.0
7,525,0,0,0,2024,1.0,0.8840675099433636,1.0
1,525,1,0,0,2024,0.6234898018587336,0.8919813464595485,1.0
2,525,1,0,0,2024,-0.22252093395631434,0.8996308696522433,1.0
3,525,1,0,0,2024,-0.900968867902419,0.9070138128026359,1.0
4,525,1,0,0,2024,-0.9009688679024191,0.9141279881853337,1.0
5,525,1,0,0,2024,-0.2225209339563146,0.9209712877166346,1.0
6,525,0,0,0,2024,0.6234898018587334,0.9275416835791966,1.0
7,525,0,0,0,2024,1.0,0.9338372288229252,1.0
1,525,1,0,0,2024,0.6234898018587336,0.9398560579418954,1.0
2,525,1,0,0,2024,-0.22252093395631434,0.9455963874271426,1.0
3,525,1,0,0,2024,-0.900968867902419,0.9510565162951535,1.0
4,525,1,0,0,2024,-0.9009688679024191,0.9562348265919056,1.0
5,525,1,0,0,2024,-0.2225209339563146,0.9611297838723007,1.0
6,525,0,0,0,2024,0.6234898018587334,0.9657399376548549,1.0
7,525,0,0,0,2024,1.0,0.9700639218515071,1.0
1,525,1,0,0,2024,0.6234898018587336,0.9741004551724205,1.0
2,525,1,0,0,2024,-0.22252093395631434,0.9778483415056568,1.0
3,525,1,0,0,2024,-0.900968867902419,0.9813064702716093,1.0
4,525,1,0,0,2024,-0.9009688679024191,0.9844738167520922,1.0
5,525,1,0,0,2024,-0.2225209339563146,0.9873494423939864,1.0
6,525,0,0,0,2024,0.6234898018587334,0.989932495087353,1.0
7,525,0,0,0,2024,1.0,0.9922222094179323,1.0
1,525,1,0,0,2024,0.6234898018587336,0.994217906893952,1.0
2,525,1,0,0,2024,-0.22252093395631434,0.995918996147179,1.0
3,525,1,0,0,2024,-0.900968867902419,0.9973249731081555,1.0
4,525,1,0,0,2024,-0.9009688679024191,0.9984354211555643,1.0
5,525,1,0,0,2024,-0.2225209339563146,0.9992500112396835,1.0
6,525,0,0,0,2024,0.6234898018587334,0.9997685019798909,1.0
7,525,0,0,0,2024,1.0,0.9999907397361901,1.0
1,525,1,0,0,2024,0.6234898018587336,0.9999166586547379,0.8660254037844387
2,525,1,0,0,2024,-0.22252093395631434,0.9995462806873573,0.8660254037844387
3,525,1,0,0,2024,-0.900968867902419,0.9988797155850336,0.8660254037844387
4,525,1,0,0,2024,-0.9009688679024191,0.9979171608653922,0.8660254037844387
5,525,1,0,0,2024,-0.2225209339563146,0.9966589017541702,0.8660254037844387
6,525,0,0,0,2024,0.6234898018587334,0.9951053111006976,0.8660254037844387
7,525,0,0,0,2024,1.0,0.9932568492674143,0.8660254037844387
1,525,1,0,0,2024,0.6234898018587336,0.9911140639934547,0.8660254037844387
2,525,1,0,0,2024,-0.22252093395631434,0.9886775902323405,0.8660254037844387
3,525,1,0,0,2024,-0.900968867902419,0.9859481499638304,0.8660254037844387
4,525,1,0,0,2024,-0.9009688679024191,0.9829265519799822,0.8660254037844387
5,525,1,0,0,2024,-0.2225209339563146,0.9796136916454901,0.8660254037844387
6,525,0,0,0,2024,0.6234898018587334,0.9760105506323683,0.8660254037844387
7,525,0,0,0,2024,1.0,0.9721181966290613,0.8660254037844387
1,525,1,0,0,2024,0.6234898018587336,0.9679377830240642,0.8660254037844387
2,525,1,0,0,2024,-0.22252093395631434,0.9634705485641488,0.8660254037844387
